Category	Ticker	Date	Open	Close	High	Low	AggrPercent
Tech	GOOGL	2022-03-15	126.975998	129.197998	129.854507	125.720497	1.7499
Tech	GOOGL	2022-03-16	130.733002	133.280502	133.332993	128.734497	1.9486
Tech	GOOGL	2022-03-17	133.149002	133.839005	134.080505	132.184998	0.5182
Tech	GOOGL	2022-03-18	133.4245	136.125504	136.244003	132.258499	2.0244
Tech	GOOGL	2022-03-19	134.79	136.11	136.65	133.18	0.9793
Tech	GOOGL	2022-03-20	135.48	136.11	136.85	133.64	0.465
Tech	GOOGL	2022-03-21	136.163498	136.101501	137.050003	134.092499	-0.0455
Tech	GOOGL	2022-03-22	136.101501	139.867996	141.050003	136.101501	2.7674
Tech	GOOGL	2022-03-23	138.702499	138.275497	139.588501	137.835007	-0.3079
Tech	GOOGL	2022-03-24	139.199997	141.572006	141.619003	137.750504	1.704
Tech	GOOGL	2022-03-25	141.916	141.673004	142.035004	139.737503	-0.1712
Tech	GOOGL	2022-03-26	141.41	141.56	142.02	139.77	0.1061
Tech	GOOGL	2022-03-27	141.16	141.51	142.01	139.79	0.2479
Tech	GOOGL	2022-03-28	140.900497	141.455505	142.002502	139.811493	0.3939
Tech	GOOGL	2022-03-29	142.647507	142.505493	143.793503	142.038498	-0.0996
Tech	GOOGL	2022-03-30	142.460007	141.938507	142.720505	141.600006	-0.3661
Tech	GOOGL	2022-03-31	142.052994	139.067505	142.108002	139.024506	-2.1017
Tech	GOOGL	2022-04-01	139.5	140.150497	140.470993	138.307495	0.4663
Tech	GOOGL	2022-04-02	139.93	141.56	142.09	139.31	1.1649
Tech	GOOGL	2022-04-03	140.14	142.27	142.9	139.81	1.5199
Tech	GOOGL	2022-04-04	140.358505	142.971497	143.712006	140.310501	1.8617
Tech	GOOGL	2022-04-05	142.869003	140.591003	142.990494	140.382507	-1.5945
Tech	GOOGL	2022-04-06	138.75	136.548004	139.360504	135.516998	-1.587
Tech	GOOGL	2022-04-07	136.009995	135.888504	137.164505	134.227493	-0.0893
Tech	GOOGL	2022-04-08	135.583496	133.287506	135.669998	132.9655	-1.6934
Tech	GOOGL	2022-04-09	133.7	131.06	133.88	130.82	-1.9746
Tech	GOOGL	2022-04-10	132.76	129.94	132.99	129.74	-2.1241
Tech	GOOGL	2022-04-11	131.823502	128.823502	132.092499	128.668503	-2.2758
Tech	GOOGL	2022-04-12	131.600006	127.7145	131.600006	126.789001	-2.9525
Tech	GOOGL	2022-04-13	128.0	129.893997	130.334	127.740997	1.4797
Tech	GOOGL	2022-04-14	130.479507	126.730003	130.479507	126.600998	-2.8736
Tech	GOOGL	2022-04-15	128.74	127.2	129.35	126.39	-1.1962
Tech	GOOGL	2022-04-16	127.87	127.44	128.78	126.29	-0.3363
Tech	GOOGL	2022-04-17	127.44	127.56	128.5	126.24	0.0942
Tech	GOOGL	2022-04-18	127.0	127.676498	128.212494	126.181999	0.5327
Tech	GOOGL	2022-04-19	127.691498	130.009003	130.332993	126.999496	1.8149
Tech	GOOGL	2022-04-20	130.891998	128.039993	131.399002	127.5	-2.1789
Tech	GOOGL	2022-04-21	129.25	124.814499	130.098495	124.526497	-3.4317
Tech	GOOGL	2022-04-22	125.0	119.635498	125.402	118.925003	-4.2916
Tech	GOOGL	2022-04-23	122.05	121.35	124.34	118.72	-0.5735
Tech	GOOGL	2022-04-24	120.58	122.21	123.81	118.62	1.3518
Tech	GOOGL	2022-04-25	119.100998	123.073997	123.277496	118.511002	3.3358
Tech	GOOGL	2022-04-26	122.294502	118.650002	122.510002	118.511002	-2.9801
Tech	GOOGL	2022-04-27	114.469498	114.294502	117.241997	112.736504	-0.1529
Tech	GOOGL	2022-04-28	116.415001	118.522499	119.649498	114.114998	1.8103
Tech	GOOGL	2022-04-29	116.734497	114.109497	117.919998	113.814499	-2.2487
Tech	GOOGL	2022-04-30	115.07	115.35	117.33	113.21	0.2433
Tech	GOOGL	2022-05-01	114.24	115.97	117.04	112.9	1.5144
Tech	GOOGL	2022-05-02	113.404999	116.583	116.745499	112.599998	2.8023
Tech	GOOGL	2022-05-03	116.430496	117.334	118.442001	116.0345	0.776
Tech	GOOGL	2022-05-04	117.031502	122.261002	122.8545	115.115997	4.4685
Tech	GOOGL	2022-05-05	120.204002	116.505501	121.039001	115.005501	-3.0769
Tech	GOOGL	2022-05-06	115.184502	115.746498	117.571503	114.015503	0.4879
Tech	GOOGL	2022-05-07	114.22	114.13	116.32	113.01	-0.0788
Tech	GOOGL	2022-05-08	113.73	113.32	115.7	112.51	-0.3605
Tech	GOOGL	2022-05-09	113.25	112.511002	115.077003	112.000504	-0.6525
Tech	GOOGL	2022-05-10	115.5075	114.394997	116.25	112.900497	-0.9631
Tech	GOOGL	2022-05-11	113.236504	113.602501	116.364502	113.236504	0.3232
Tech	GOOGL	2022-05-12	111.377502	112.844002	114.294998	109.824501	1.3167
Tech	GOOGL	2022-05-13	114.532997	116.050499	117.875	113.605003	1.3249
Tech	GOOGL	2022-05-14	114.74	115.25	117.02	113.75	0.4445
Tech	GOOGL	2022-05-15	114.85	114.85	116.59	113.82	0.0
Tech	GOOGL	2022-05-16	114.955498	114.445	116.169998	113.889503	-0.4441
Tech	GOOGL	2022-05-17	116.8405	116.473	116.900002	114.870003	-0.3145
Tech	GOOGL	2022-05-18	115.0	111.899498	115.400002	111.555496	-2.6961
Tech	GOOGL	2022-05-19	111.431503	110.384003	113.010002	110.0	-0.94
Tech	GOOGL	2022-05-20	111.950996	108.907997	112.183502	105.796501	-2.7182
Tech	GOOGL	2022-05-21	110.77	110.2	112.17	107.27	-0.5146
Tech	GOOGL	2022-05-22	110.18	110.84	112.16	108.01	0.599
Tech	GOOGL	2022-05-23	109.587502	111.487999	112.147499	108.740997	1.7342
Tech	GOOGL	2022-05-24	105.772003	105.970001	106.458504	101.884499	0.1872
Tech	GOOGL	2022-05-25	104.985497	105.805	106.5	103.856499	0.7806
Tech	GOOGL	2022-05-26	105.677002	107.792503	108.649498	105.224998	2.0019
Tech	GOOGL	2022-05-27	109.483002	112.316498	112.318001	109.138496	2.5881
Tech	GOOGL	2022-05-28	111.11	113.04	114.03	110.61	1.737
Tech	GOOGL	2022-05-29	111.93	113.4	114.88	111.34	1.3133
Tech	GOOGL	2022-05-30	112.34	113.58	115.31	111.71	1.1038
Tech	GOOGL	2022-05-31	112.746498	113.762001	115.735001	112.078499	0.9007
Tech	GOOGL	2022-06-01	114.855003	113.891998	117.101501	113.25	-0.8385
Tech	GOOGL	2022-06-02	114.0	117.622498	117.899498	112.946503	3.1776
Tech	GOOGL	2022-06-03	116.0625	114.541	116.321503	113.518501	-1.3109
Tech	GOOGL	2022-06-04	116.38	115.68	117.83	114.84	-0.6015
Tech	GOOGL	2022-06-05	116.54	116.25	118.59	115.5	-0.2488
